Spot No,Spot No,Source file,Fish code,My code,Region,My site,Na23_ppm,Mg24_ppm,Ni60_ppm,Cu63_ppm,Sr88_ppm,Ba137_ppm
12,12,Ba - 12.d,LC 15-08-07_05,BB4,Kimberley,Bigge Island E (6/6),1526,9.78,0.209,0.123,2584,2.78
13,13,Ba - 13.d,LC 15-08-07_05,BB4,Kimberley,Bigge Island E (6/6),1671,11.22,0.206,0.209,2929,3.65
14,margin,Ba - 14.d,LC 15-08-07_05,BB4,Kimberley,Bigge Island E (6/6),2010,19.40,0.192,0.335,2719,3.51
1,core,Ab - 1.d,LC-SB1-01,BN1,Gascoyne,Bernier Island,3845,113.50,0.295,1.619,1660,3.61
2,2,Ab - 2.d,LC-SB1-01,BN1,Gascoyne,Bernier Island,2773,25.85,0.222,0.203,2090,22.28
3,3,Ab - 3.d,LC-SB1-01,BN1,Gascoyne,Bernier Island,2542,26.95,0.216,0.215,1834,4.79
4,4,Ab - 4.d,LC-SB1-01,BN1,Gascoyne,Bernier Island,2405,19.62,0.196,0.180,1388,1.50
5,5,Ab - 5.d,LC-SB1-01,BN1,Gascoyne,Bernier Island,1985,13.19,0.195,0.222,1872,1.42
6,6,Ab - 6.d,LC-SB1-01,BN1,Gascoyne,Bernier Island,1700,14.82,0.202,0.148,2291,1.56
7,7,Ab - 7.d,LC-SB1-01,BN1,Gascoyne,Bernier Island,1774,17.73,0.210,0.235,2386,1.62
8,margin,Ab - 8.d,LC-SB1-01,BN1,Gascoyne,Bernier Island,2427,13.93,0.208,0.295,2492,1.98
1,core,Af - 1.d,LC-SB1-12,BN2,Gascoyne,Bernier Island,3775,57.80,0.209,0.688,1690,1.55
2,2,Af - 2.d,LC-SB1-12,BN2,Gascoyne,Bernier Island,2959,34.13,0.182,0.388,1660,3.42
3,3,Af - 3.d,LC-SB1-12,BN2,Gascoyne,Bernier Island,3202,34.86,0.206,0.530,1526,1.71
4,4,Af - 4.d,LC-SB1-12,BN2,Gascoyne,Bernier Island,2802,22.59,0.194,0.301,1683,2.69
5,5,Af - 5.d,LC-SB1-12,BN2,Gascoyne,Bernier Island,2667,22.20,0.190,0.320,1894,1.65
6,6,Af - 6.d,LC-SB1-12,BN2,Gascoyne,Bernier Island,1994,11.85,0.197,0.187,2267,1.96
7,margin,Af - 7.d,LC-SB1-12,BN2,Gascoyne,Bernier Island,2040,15.60,0.192,0.354,2650,1.84
1,core,Ha - 1.d,LC-SB1-13,BN3,Gascoyne,Bernier Island,3185,44.23,0.182,0.518,2036,1.27
2,2,Ha - 2.d,LC-SB1-13,BN3,Gascoyne,Bernier Island,3074,28.19,0.202,0.799,1655,0.79
3,3,Ha - 3.d,LC-SB1-13,BN3,Gascoyne,Bernier Island,2428,14.26,0.182,0.397,2233,1.25
