Spot No,Spot No,Source file,Fish code,My code,Region,My site,Na23_ppm,Mg24_ppm,Ni60_ppm,Cu63_ppm,Sr88_ppm,Ba137_ppm
18,18,Ce - 18.d,LC-SB2-03,DE2,Gascoyne,Dorre Island,1727,11.78,0.170,0.177,3187,4.89
19,19,Ce - 19.d,LC-SB2-03,DE2,Gascoyne,Dorre Island,1844,12.28,0.170,0.184,2900,3.71
20,margin,Ce - 20.d,LC-SB2-03,DE2,Gascoyne,Dorre Island,1898,12.75,0.176,0.186,2957,3.68
1,core,Id - 1.d,LC-SB2-06,DE3,Gascoyne,Dorre Island,3512,95.80,0.239,2.561,1889,3.95
2,2,Id - 2.d,LC-SB2-06,DE3,Gascoyne,Dorre Island,2917,38.53,0.185,0.869,2417,4.26
3,3,Id - 3.d,LC-SB2-06,DE3,Gascoyne,Dorre Island,2362,26.85,0.173,0.301,2222,2.10
4,4,Id - 4.d,LC-SB2-06,DE3,Gascoyne,Dorre Island,2043,27.22,0.189,0.488,3072,4.13
5,5,Id - 5.d,LC-SB2-06,DE3,Gascoyne,Dorre Island,1947,29.91,0.197,0.557,3212,5.47
6,6,Id - 6.d,LC-SB2-06,DE3,Gascoyne,Dorre Island,1901,31.38,0.207,0.482,3548,5.83
7,margin,Id - 7.d,LC-SB2-06,DE3,Gascoyne,Dorre Island,1740,35.10,0.326,0.500,3730,7.15
1,core,Slide21 -EF1 - 01.d,LC 0204193,EP1,Kimberley,Indian Ocean (1/2),2625,36.12,0.034,0.164,2061,2.67
2,2,Slide21 -EF1 - 02.d,LC 0204193,EP1,Kimberley,Indian Ocean (1/2),2361,19.15,0.028,0.134,2079,2.92
3,3,Slide21 -EF1 - 03.d,LC 0204193,EP1,Kimberley,Indian Ocean (1/2),1827,28.68,0.043,0.244,2218,3.13
4,4,Slide21 -EF1 - 04.d,LC 0204193,EP1,Kimberley,Indian Ocean (1/2),1482,30.50,0.050,0.191,2933,2.19
5,5,Slide21 -EF1 - 05.d,LC 0204193,EP1,Kimberley,Indian Ocean (1/2),1459,35.60,0.031,0.231,2926,1.98
6,6,Slide21 -EF1 - 06.d,LC 0204193,EP1,Kimberley,Indian Ocean (1/2),1436,35.90,0.038,0.196,3508,4.69
7,margin,Slide21 -EF1 - 07.d,LC 0204193,EP1,Kimberley,Indian Ocean (1/2),1256,39.70,0.044,0.365,4012,6.14
1,core,Slide23 -SP3 - 01.d,LC 0204188,EP3,Kimberley,Indian Ocean (1/2),3207,75.70,0.049,0.282,1679,1.69
2,2,Slide23 -SP3 - 02.d,LC 0204188,EP3,Kimberley,Indian Ocean (1/2),1911,11.06,0.037,0.088,2197,1.28
3,3,Slide23 -SP3 - 03.d,LC 0204188,EP3,Kimberley,Indian Ocean (1/2),1829,11.20,0.044,0.082,2197,1.30
4,4,Slide23 -SP3 - 04.d,LC 0204188,EP3,Kimberley,Indian Ocean (1/2),1759,10.81,0.040,0.075,2320,1.73
5,5,Slide23 -SP3 - 05.d,LC 0204188,EP3,Kimberley,Indian Ocean (1/2),1682,11.34,0.048,0.086,2624,1.77
6,6,Slide23 -SP3 - 06.d,LC 0204188,EP3,Kimberley,Indian Ocean (1/2),1763,10.01,0.039,0.076,2506,1.87
7,7,Slide23 -SP3 - 07.d,LC 0204188,EP3,Kimberley,Indian Ocean (1/2),1716,11.02,0.038,0.085,2551,2.62
8,8,Slide23 -SP3 - 08.d,LC 0204188,EP3,Kimberley,Indian Ocean (1/2),1588,9.32,0.058,0.093,2943,2.45
9,9,Slide23 -SP3 - 09.d,LC 0204188,EP3,Kimberley,Indian Ocean (1/2),1516,9.58,0.055,0.077,3027,1.98
10,10,Slide23 -SP3 - 10.d,LC 0204188,EP3,Kimberley,Indian Ocean (1/2),1502,11.04,0.047,0.066,2700,1.93
11,margin,Slide23 -SP3 - 11.d,LC 0204188,EP3,Kimberley,Indian Ocean (1/2),1275,10.73,0.068,0.100,2762,2.18
1,core,Slide22 -EP4 - 01.d,LC 0204189,EP4,Kimberley,Indian Ocean (1/2),3183,61.71,0.033,0.742,1730,8.33
2,2,Slide22 -EP4 - 02.d,LC 0204189,EP4,Kimberley,Indian Ocean (1/2),1884,13.28,0.045,0.093,1985,3.45
3,3,Slide22 -EP4 - 03.d,LC 0204189,EP4,Kimberley,Indian Ocean (1/2),1570,7.51,0.036,0.071,2802,2.49
4,4,Slide22 -EP4 - 04.d,LC 0204189,EP4,Kimberley,Indian Ocean (1/2),1441,10.94,0.038,0.064,2825,2.54
5,5,Slide22 -EP4 - 05.d,LC 0204189,EP4,Kimberley,Indian Ocean (1/2),1313,11.34,0.034,0.077,3500,3.33
6,6,Slide22 -EP4 - 06.d,LC 0204189,EP4,Kimberley,Indian Ocean (1/2),1306,15.62,0.030,0.085,2932,3.69
7,7,Slide22 -EP4 - 07.d,LC 0204189,EP4,Kimberley,Indian Ocean (1/2),1266,16.04,0.032,0.086,2907,3.98
8,8,Slide22 -EP4 - 08.d,LC 0204189,EP4,Kimberley,Indian Ocean (1/2),1169,30.70,0.048,0.105,3338,4.14
9,margin,Slide22 -EP4 - 09.d,LC 0204189,EP4,Kimberley,Indian Ocean (1/2),1183,35.20,0.040,0.083,3396,4.70
1,core,Slide19 -GD3 - 01.d,LC-D2-05,GD3,Pilbara,Gidley Island,3081,53.39,0.032,0.260,2046,18.47
2,2,Slide19 -GD3 - 02.d,LC-D2-05,GD3,Pilbara,Gidley Island,2095,10.37,0.030,0.090,1962,3.39
3,3,Slide19 -GD3 - 03.d,LC-D2-05,GD3,Pilbara,Gidley Island,2002,11.64,0.045,0.114,1916,2.53
4,4,Slide19 -GD3 - 04.d,LC-D2-05,GD3,Pilbara,Gidley Island,1824,9.72,0.034,0.140,2320,2.13
5,5,Slide19 -GD3 - 05.d,LC-D2-05,GD3,Pilbara,Gidley Island,1617,8.49,0.041,0.125,2914,2.64
6,6,Slide19 -GD3 - 06.d,LC-D2-05,GD3,Pilbara,Gidley Island,1467,7.32,0.040,0.103,3498,2.57
7,7,Slide19 -GD3 - 07.d,LC-D2-05,GD3,Pilbara,Gidley Island,1449,7.36,0.029,0.135,3265,2.39
8,8,Slide19 -GD3 - 08.d,LC-D2-05,GD3,Pilbara,Gidley Island,1375,6.17,0.044,0.063,3585,2.26
9,9,Slide19 -GD3 - 09.d,LC-D2-05,GD3,Pilbara,Gidley Island,1325,6.32,0.030,0.061,3553,2.39
10,margin,Slide19 -GD3 - 10.d,LC-D2-05,GD3,Pilbara,Gidley Island,1327,6.46,0.036,0.065,3724,2.70
1,core,Slide20 -GD4 - 01.d,LC-D2-08,GD4,Pilbara,Gidley Island,2934,40.71,0.032,0.264,1611,2.77
2,2,Slide20 -GD4 - 02.d,LC-D2-08,GD4,Pilbara,Gidley Island,1902,13.95,0.035,0.143,2171,4.00
3,3,Slide20 -GD4 - 03.d,LC-D2-08,GD4,Pilbara,Gidley Island,1649,7.79,0.041,0.151,2651,2.04
4,4,Slide20 -GD4 - 04.d,LC-D2-08,GD4,Pilbara,Gidley Island,1494,6.52,0.041,0.490,3358,2.47
5,5,Slide20 -GD4 - 05.d,LC-D2-08,GD4,Pilbara,Gidley Island,1500,8.38,0.058,1.330,3180,2.50
6,6,Slide20 -GD4 - 06.d,LC-D2-08,GD4,Pilbara,Gidley Island,1511,8.12,0.030,0.392,3058,2.85
7,7,Slide20 -GD4 - 07.d,LC-D2-08,GD4,Pilbara,Gidley Island,1455,7.98,0.043,0.414,3087,3.06
8,8,Slide20 -GD4 - 08.d,LC-D2-08,GD4,Pilbara,Gidley Island,1384,7.78,0.035,0.558,3709,3.49
9,9,Slide20 -GD4 - 09.d,LC-D2-08,GD4,Pilbara,Gidley Island,1437,8.80,0.042,0.570,3396,3.52
10,margin,Slide20 -GD4 - 10.d,LC-D2-08,GD4,Pilbara,Gidley Island,1403,8.95,0.039,0.631,3595,3.49
1,core,Slide22 -GD5 - 01.d,LC-D2-02,GD5,Pilbara,Gidley Island,2914,47.70,0.022,0.377,2105,10.50
2,2,Slide22 -GD5 - 02.d,LC-D2-02,GD5,Pilbara,Gidley Island,2080,13.16,0.027,0.136,2220,6.84
3,3,Slide22 -GD5 - 03.d,LC-D2-02,GD5,Pilbara,Gidley Island,2154,13.18,0.027,0.233,2570,6.24
4,4,Slide22 -GD5 - 04.d,LC-D2-02,GD5,Pilbara,Gidley Island,1875,7.98,0.041,0.164,2562,3.15
5,5,Slide22 -GD5 - 05.d,LC-D2-02,GD5,Pilbara,Gidley Island,1962,7.95,0.039,0.105,2723,5.71
6,6,Slide22 -GD5 - 06.d,LC-D2-02,GD5,Pilbara,Gidley Island,2027,10.72,0.043,0.156,2347,2.70
7,7,Slide22 -GD5 - 07.d,LC-D2-02,GD5,Pilbara,Gidley Island,1777,7.81,0.032,0.103,2822,2.19
8,margin,Slide22 -GD5 - 08.d,LC-D2-02,GD5,Pilbara,Gidley Island,1734,10.07,0.049,1.220,2805,2.87
1,core,Slide19 -GD6 - 01.d,LC-D2-03,GD6,Pilbara,Gidley Island,3273,52.50,0.039,0.249,1624,14.99
2,2,Slide19 -GD6 - 02.d,LC-D2-03,GD6,Pilbara,Gidley Island,2358,15.05,0.032,0.108,1675,1.76
3,3,Slide19 -GD6 - 03.d,LC-D2-03,GD6,Pilbara,Gidley Island,2234,14.19,0.035,0.111,1768,1.60
4,4,Slide19 -GD6 - 04.d,LC-D2-03,GD6,Pilbara,Gidley Island,2055,12.92,0.045,0.093,1953,1.56
5,5,Slide19 -GD6 - 05.d,LC-D2-03,GD6,Pilbara,Gidley Island,1712,7.39,0.036,0.067,2681,2.29
6,6,Slide19 -GD6 - 06.d,LC-D2-03,GD6,Pilbara,Gidley Island,1883,9.69,0.033,0.079,2085,1.81
7,7,Slide19 -GD6 - 07.d,LC-D2-03,GD6,Pilbara,Gidley Island,1614,6.60,0.030,0.073,2918,1.84
8,8,Slide19 -GD6 - 08.d,LC-D2-03,GD6,Pilbara,Gidley Island,1609,7.44,0.036,0.069,2775,1.79
9,9,Slide19 -GD6 - 09.d,LC-D2-03,GD6,Pilbara,Gidley Island,1602,7.92,0.031,0.075,2580,1.89
10,margin,Slide19 -GD6 - 10.d,LC-D2-03,GD6,Pilbara,Gidley Island,1562,8.03,0.044,0.079,3112,1.64
1,core,Slide21 -HP1 - 01.d,LC 12-09-14_12,HP1,Kimberley,Hall Point (37/44),2640,29.15,0.032,0.209,1685,1.88
2,2,Slide21 -HP1 - 02.d,LC 12-09-14_12,HP1,Kimberley,Hall Point (37/44),1832,10.73,0.029,0.213,2274,7.56
3,3,Slide21 -HP1 - 03.d,LC 12-09-14_12,HP1,Kimberley,Hall Point (37/44),1428,8.00,0.030,0.146,3012,3.12
4,4,Slide21 -HP1 - 04.d,LC 12-09-14_12,HP1,Kimberley,Hall Point (37/44),1427,7.80,0.029,0.111,3233,3.18
5,5,Slide21 -HP1 - 05.d,LC 12-09-14_12,HP1,Kimberley,Hall Point (37/44),1390,7.28,0.041,0.141,3674,3.51
6,6,Slide21 -HP1 - 06.d,LC 12-09-14_12,HP1,Kimberley,Hall Point (37/44),1406,7.41,0.037,0.125,3985,4.10
7,7,Slide21 -HP1 - 07.d,LC 12-09-14_12,HP1,Kimberley,Hall Point (37/44),1401,7.22,0.062,0.139,3957,4.03
8,8,Slide21 -HP1 - 08.d,LC 12-09-14_12,HP1,Kimberley,Hall Point (37/44),1475,7.18,0.046,0.140,4188,4.70
9,9,Slide21 -HP1 - 09.d,LC 12-09-14_12,HP1,Kimberley,Hall Point (37/44),1420,7.21,0.041,0.141,4175,5.23
10,margin,Slide21 -HP1 - 10.d,LC 12-09-14_12,HP1,Kimberley,Hall Point (37/44),1418,7.62,0.051,0.104,4509,4.98
1,core,Slide22 -HF2 - 01.d,LC 12-09-14_18,HP2,Kimberley,Hall Point (37/44),2932,50.80,0.026,0.207,1891,6.32
2,2,Slide22 -HF2 - 02.d,LC 12-09-14_18,HP2,Kimberley,Hall Point (37/44),1781,13.10,0.030,0.209,2517,7.28
3,3,Slide22 -HF2 - 03.d,LC 12-09-14_18,HP2,Kimberley,Hall Point (37/44),1417,7.98,0.027,0.125,2767,3.77
4,4,Slide22 -HF2 - 04.d,LC 12-09-14_18,HP2,Kimberley,Hall Point (37/44),1485,8.58,0.026,0.140,2735,4.77
5,5,Slide22 -HF2 - 05.d,LC 12-09-14_18,HP2,Kimberley,Hall Point (37/44),1341,7.35,0.032,0.135,3250,4.15
6,6,Slide22 -HF2 - 06.d,LC 12-09-14_18,HP2,Kimberley,Hall Point (37/44),1322,7.16,0.038,0.244,3680,4.76
7,7,Slide22 -HF2 - 07.d,LC 12-09-14_18,HP2,Kimberley,Hall Point (37/44),1330,7.33,0.030,0.192,3758,4.23
8,8,Slide22 -HF2 - 08.d,LC 12-09-14_18,HP2,Kimberley,Hall Point (37/44),1323,7.65,0.040,0.183,3922,5.94
9,9,Slide22 -HF2 - 09.d,LC 12-09-14_18,HP2,Kimberley,Hall Point (37/44),1369,9.42,0.047,0.175,4326,5.73
10,margin,Slide22 -HF2 - 10.d,LC 12-09-14_18,HP2,Kimberley,Hall Point (37/44),1359,21.80,0.041,0.182,4753,5.79
1,core,Slide21 -HP3 - 01.d,LC 12-09-14_13,HP3,Kimberley,Hall Point (37/44),2933,57.89,0.035,0.216,1951,4.28
2,2,Slide21 -HP3 - 02.d,LC 12-09-14_13,HP3,Kimberley,Hall Point (37/44),2204,15.23,0.031,0.119,1992,7.28
3,3,Slide21 -HP3 - 03.d,LC 12-09-14_13,HP3,Kimberley,Hall Point (37/44),1661,8.33,0.033,0.090,2259,3.30
4,4,Slide21 -HP3 - 04.d,LC 12-09-14_13,HP3,Kimberley,Hall Point (37/44),1611,7.28,0.054,0.133,2626,3.04
5,5,Slide21 -HP3 - 05.d,LC 12-09-14_13,HP3,Kimberley,Hall Point (37/44),1539,7.63,0.036,0.148,2547,2.86
6,6,Slide21 -HP3 - 06.d,LC 12-09-14_13,HP3,Kimberley,Hall Point (37/44),1434,7.28,0.046,0.162,2944,2.97
7,7,Slide21 -HP3 - 07.d,LC 12-09-14_13,HP3,Kimberley,Hall Point (37/44),1440,7.49,0.056,0.204,2802,3.13
8,8,Slide21 -HP3 - 08.d,LC 12-09-14_13,HP3,Kimberley,Hall Point (37/44),1363,7.00,0.030,0.133,3173,3.40
9,9,Slide21 -HP3 - 09.d,LC 12-09-14_13,HP3,Kimberley,Hall Point (37/44),1361,7.02,0.053,0.333,3103,3.08
10,margin,Slide21 -HP3 - 10.d,LC 12-09-14_13,HP3,Kimberley,Hall Point (37/44),1410,6.91,0.055,0.320,3277,3.37
1,core,Slide19 -HP4 - 01.d,LC 12-09-14_14,HP4,Kimberley,Hall Point (37/44),3022,60.82,0.032,0.219,1794,3.52
2,2,Slide19 -HP4 - 02.d,LC 12-09-14_14,HP4,Kimberley,Hall Point (37/44),2026,15.66,0.032,0.068,2134,6.67
3,3,Slide19 -HP4 - 03.d,LC 12-09-14_14,HP4,Kimberley,Hall Point (37/44),1755,13.04,0.030,0.066,2189,5.41
4,4,Slide19 -HP4 - 04.d,LC 12-09-14_14,HP4,Kimberley,Hall Point (37/44),1478,9.96,0.035,0.070,2369,3.35
5,5,Slide19 -HP4 - 05.d,LC 12-09-14_14,HP4,Kimberley,Hall Point (37/44),1513,8.51,0.029,0.056,2228,3.17
6,6,Slide19 -HP4 - 06.d,LC 12-09-14_14,HP4,Kimberley,Hall Point (37/44),1420,8.73,0.036,0.048,2089,2.57
7,7,Slide19 -HP4 - 07.d,LC 12-09-14_14,HP4,Kimberley,Hall Point (37/44),1318,7.89,0.028,0.075,2604,2.48
8,8,Slide19 -HP4 - 08.d,LC 12-09-14_14,HP4,Kimberley,Hall Point (37/44),1333,7.28,0.038,0.056,2603,2.29
9,9,Slide19 -HP4 - 09.d,LC 12-09-14_14,HP4,Kimberley,Hall Point (37/44),1361,7.71,0.031,0.132,3421,3.72
10,margin,Slide19 -HP4 - 10.d,LC 12-09-14_14,HP4,Kimberley,Hall Point (37/44),1333,8.41,0.054,0.227,3390,3.96
1,core,Slide21 -HY1 - 01.d,LC 13-08-28_03N,HY1,Kimberley,Heywood Island N,2952,48.96,0.033,0.400,1820,2.93
2,2,Slide21 -HY1 - 02.d,LC 13-08-28_03N,HY1,Kimberley,Heywood Island N,1938,13.82,0.033,0.119,2317,7.48
3,3,Slide21 -HY1 - 03.d,LC 13-08-28_03N,HY1,Kimberley,Heywood Island N,1682,7.95,0.043,0.120,2649,3.44
4,4,Slide21 -HY1 - 04.d,LC 13-08-28_03N,HY1,Kimberley,Heywood Island N,1439,6.53,0.040,0.130,3258,4.96
5,5,Slide21 -HY1 - 05.d,LC 13-08-28_03N,HY1,Kimberley,Heywood Island N,1379,6.62,0.029,0.115,3478,4.45
6,6,Slide21 -HY1 - 06.d,LC 13-08-28_03N,HY1,Kimberley,Heywood Island N,1416,6.31,0.046,0.109,3150,3.61
7,7,Slide21 -HY1 - 07.d,LC 13-08-28_03N,HY1,Kimberley,Heywood Island N,1434,6.50,0.040,0.223,3334,4.23
8,8,Slide21 -HY1 - 08.d,LC 13-08-28_03N,HY1,Kimberley,Heywood Island N,1369,6.21,0.041,0.235,3537,4.65
9,9,Slide21 -HY1 - 09.d,LC 13-08-28_03N,HY1,Kimberley,Heywood Island N,1360,5.80,0.041,0.113,3298,4.25
10,margin,Slide21 -HY1 - 10.d,LC 13-08-28_03N,HY1,Kimberley,Heywood Island N,1386,7.26,0.036,0.291,3704,4.36
1,core,Slide23 -HY2 - 01.d,LC 13-08-28_04N,HY2,Kimberley,Heywood Island N,3256,62.00,0.062,0.268,1828,7.24
2,2,Slide23 -HY2 - 02.d,LC 13-08-28_04N,HY2,Kimberley,Heywood Island N,2418,22.36,0.062,0.179,1770,2.76
3,3,Slide23 -HY2 - 03.d,LC 13-08-28_04N,HY2,Kimberley,Heywood Island N,1875,11.50,0.041,0.114,2340,2.32
4,4,Slide23 -HY2 - 04.d,LC 13-08-28_04N,HY2,Kimberley,Heywood Island N,1669,8.72,0.023,0.097,2439,2.03
5,5,Slide23 -HY2 - 05.d,LC 13-08-28_04N,HY2,Kimberley,Heywood Island N,1555,8.66,0.041,0.165,2751,4.33
6,6,Slide23 -HY2 - 06.d,LC 13-08-28_04N,HY2,Kimberley,Heywood Island N,1538,8.08,0.036,0.108,2732,4.16
7,7,Slide23 -HY2 - 07.d,LC 13-08-28_04N,HY2,Kimberley,Heywood Island N,1454,7.50,0.055,0.137,3197,3.58
8,8,Slide23 -HY2 - 08.d,LC 13-08-28_04N,HY2,Kimberley,Heywood Island N,1434,7.07,0.052,0.250,3001,3.50
9,margin,Slide23 -HY2 - 09.d,LC 13-08-28_04N,HY2,Kimberley,Heywood Island N,1420,7.01,0.034,0.123,3326,4.39
1,core,Slide19 -HY3 - 01.d,LC 13-08-28_01N,HY3,Kimberley,Heywood Island N,2469,34.80,0.034,0.275,1811,3.03
2,2,Slide19 -HY3 - 02.d,LC 13-08-28_01N,HY3,Kimberley,Heywood Island N,2304,17.91,0.029,0.135,2467,3.09
3,3,Slide19 -HY3 - 03.d,LC 13-08-28_01N,HY3,Kimberley,Heywood Island N,1749,9.47,0.035,0.102,2246,1.58
4,4,Slide19 -HY3 - 04.d,LC 13-08-28_01N,HY3,Kimberley,Heywood Island N,1594,8.16,0.030,0.070,2519,2.06
5,5,Slide19 -HY3 - 05.d,LC 13-08-28_01N,HY3,Kimberley,Heywood Island N,1472,6.00,0.031,0.067,2776,1.86
6,6,Slide19 -HY3 - 06.d,LC 13-08-28_01N,HY3,Kimberley,Heywood Island N,1420,6.18,0.029,0.137,2860,1.87
7,7,Slide19 -HY3 - 07.d,LC 13-08-28_01N,HY3,Kimberley,Heywood Island N,1437,6.27,0.030,0.256,2792,1.89
8,8,Slide19 -HY3 - 08.d,LC 13-08-28_01N,HY3,Kimberley,Heywood Island N,1421,6.22,0.031,0.227,2965,2.58
9,9,Slide19 -HY3 - 09.d,LC 13-08-28_01N,HY3,Kimberley,Heywood Island N,1373,6.13,0.040,0.357,3055,2.37
10,margin,Slide19 -HY3 - 10.d,LC 13-08-28_01N,HY3,Kimberley,Heywood Island N,1245,6.15,0.032,0.262,3228,2.96
1,core,Ef - 1.d,LC 15-08-19_01,JR1,Kimberley,Jamieson Reef (2/3),3326,52.40,0.177,0.708,2055,5.36
2,2,Ef - 2.d,LC 15-08-19_01,JR1,Kimberley,Jamieson Reef (2/3),2607,25.33,0.182,0.262,2131,3.10
3,3,Ef - 3.d,LC 15-08-19_01,JR1,Kimberley,Jamieson Reef (2/3),2254,13.05,0.164,0.176,2222,1.69
4,4,Ef - 4.d,LC 15-08-19_01,JR1,Kimberley,Jamieson Reef (2/3),1900,13.82,0.165,0.165,2380,1.54
5,5,Ef - 5.d,LC 15-08-19_01,JR1,Kimberley,Jamieson Reef (2/3),1658,10.99,0.200,0.173,3093,2.27
6,6,Ef - 6.d,LC 15-08-19_01,JR1,Kimberley,Jamieson Reef (2/3),1712,10.21,0.186,0.186,2876,2.05
7,7,Ef - 7.d,LC 15-08-19_01,JR1,Kimberley,Jamieson Reef (2/3),1682,10.09,0.179,0.159,2945,1.79
8,8,Ef - 8.d,LC 15-08-19_01,JR1,Kimberley,Jamieson Reef (2/3),1581,9.65,0.166,0.146,2900,1.94
9,9,Ef - 9.d,LC 15-08-19_01,JR1,Kimberley,Jamieson Reef (2/3),1553,9.86,0.190,0.230,2969,2.01
10,10,Ef - 10.d,LC 15-08-19_01,JR1,Kimberley,Jamieson Reef (2/3),1556,9.31,0.180,0.167,3236,2.26
11,11,Ef - 11.d,LC 15-08-19_01,JR1,Kimberley,Jamieson Reef (2/3),1624,9.58,0.159,0.242,3315,2.47
12,12,Ef - 12.d,LC 15-08-19_01,JR1,Kimberley,Jamieson Reef (2/3),1631,9.66,0.170,0.250,3237,2.55
13,13,Ef - 13.d,LC 15-08-19_01,JR1,Kimberley,Jamieson Reef (2/3),1608,9.58,0.193,0.218,3088,2.11
14,margin,Ef - 14.d,LC 15-08-19_01,JR1,Kimberley,Jamieson Reef (2/3),1713,17.85,0.219,1.706,3190,2.57
1,core,Ja - 1.d,LC 15-08-19_02,JR2,Kimberley,Jamieson Reef (2/3),3097,38.50,0.214,0.744,2129,1.24
2,2,Ja - 2.d,LC 15-08-19_02,JR2,Kimberley,Jamieson Reef (2/3),2420,18.58,0.162,0.203,2024,9.35
3,3,Ja - 3.d,LC 15-08-19_02,JR2,Kimberley,Jamieson Reef (2/3),1873,12.40,0.145,0.201,2577,6.36
4,4,Ja - 4.d,LC 15-08-19_02,JR2,Kimberley,Jamieson Reef (2/3),1846,13.91,0.172,0.256,2344,3.15
5,5,Ja - 5.d,LC 15-08-19_02,JR2,Kimberley,Jamieson Reef (2/3),1615,11.38,0.198,0.404,2692,3.29
6,6,Ja - 6.d,LC 15-08-19_02,JR2,Kimberley,Jamieson Reef (2/3),1534,11.18,0.224,0.511,2732,2.04
7,7,Ja - 7.d,LC 15-08-19_02,JR2,Kimberley,Jamieson Reef (2/3),1469,10.71,0.225,0.609,2970,1.89
8,8,Ja - 8.d,LC 15-08-19_02,JR2,Kimberley,Jamieson Reef (2/3),1417,16.57,0.242,0.654,3078,1.79
9,margin,Ja - 9.d,LC 15-08-19_02,JR2,Kimberley,Jamieson Reef (2/3),1348,35.33,0.713,6.130,3268,2.53
1,core,Ge - 1.d,LC 15-08-19_04,JR3,Kimberley,Jamieson Reef (2/3),3626,65.30,0.217,0.599,1764,1.55
2,2,Ge - 2.d,LC 15-08-19_04,JR3,Kimberley,Jamieson Reef (2/3),3165,44.96,0.193,0.380,1861,2.01
3,3,Ge - 3.d,LC 15-08-19_04,JR3,Kimberley,Jamieson Reef (2/3),2393,23.06,0.186,0.230,2064,4.64
4,4,Ge - 4.d,LC 15-08-19_04,JR3,Kimberley,Jamieson Reef (2/3),2071,17.00,0.180,0.181,2071,3.30
5,5,Ge - 5.d,LC 15-08-19_04,JR3,Kimberley,Jamieson Reef (2/3),2189,15.06,0.208,0.187,2169,2.22
6,6,Ge - 6.d,LC 15-08-19_04,JR3,Kimberley,Jamieson Reef (2/3),2254,17.30,0.196,0.185,2293,2.51
7,7,Ge - 7.d,LC 15-08-19_04,JR3,Kimberley,Jamieson Reef (2/3),2305,16.82,0.193,0.170,2140,2.03
8,8,Ge - 8.d,LC 15-08-19_04,JR3,Kimberley,Jamieson Reef (2/3),2202,14.38,0.189,0.288,2796,2.53
9,9,Ge - 9.d,LC 15-08-19_04,JR3,Kimberley,Jamieson Reef (2/3),2102,13.44,0.205,0.292,2972,2.73
10,margin,Ge - 10.d,LC 15-08-19_04,JR3,Kimberley,Jamieson Reef (2/3),2110,15.69,0.211,0.327,3131,3.12
1,core,Be - 1.d,LC 15-08-19_05,JR4,Kimberley,Jamieson Reef (2/3),3582,62.70,0.259,1.830,1909,5.29
2,2,Be - 2.d,LC 15-08-19_05,JR4,Kimberley,Jamieson Reef (2/3),3184,63.10,0.200,0.310,2075,5.00
3,3,Be - 3.d,LC 15-08-19_05,JR4,Kimberley,Jamieson Reef (2/3),2575,29.68,0.166,0.262,2041,1.62
4,4,Be - 4.d,LC 15-08-19_05,JR4,Kimberley,Jamieson Reef (2/3),2196,19.81,0.165,0.233,1929,3.84
5,5,Be - 5.d,LC 15-08-19_05,JR4,Kimberley,Jamieson Reef (2/3),2085,15.78,0.185,0.203,2009,1.92
6,margin,Be - 6.d,LC 15-08-19_05,JR4,Kimberley,Jamieson Reef (2/3),2567,16.37,0.185,0.402,2201,1.99
1,core,LC1 - 1,LA 17-05-01_02,LC1,Northern Territories,Emu Reefs,2598,36.25,0.044,0.134,2008,2.46
2,2,LC1 - 2,LA 17-05-01_02,LC1,Northern Territories,Emu Reefs,1612,14.70,Below LOD,0.101,2820,3.48
3,3,LC1 - 3,LA 17-05-01_02,LC1,Northern Territories,Emu Reefs,1330,12.85,0.054,0.101,2942,2.30
4,4,LC1 - 4,LA 17-05-01_02,LC1,Northern Territories,Emu Reefs,1292,12.18,0.053,0.072,3469,2.42
5,5,LC1 - 5,LA 17-05-01_02,LC1,Northern Territories,Emu Reefs,1287,11.81,0.053,0.061,3189,2.30
6,6,LC1 - 6,LA 17-05-01_02,LC1,Northern Territories,Emu Reefs,1220,10.86,0.034,0.043,3218,2.32
7,7,LC1 - 7,LA 17-05-01_02,LC1,Northern Territories,Emu Reefs,1262,11.78,Below LOD,0.041,3593,2.73
8,margin,LC1 - 8,LA 17-05-01_02,LC1,Northern Territories,Emu Reefs,1211,11.55,0.058,0.068,3705,3.39
1,core,LC2 - 1,LA 17-05-01_03,LC2,Northern Territories,Emu Reefs,2584,44.06,Below LOD,0.161,1856,1.68
2,2,LC2 - 2,LA 17-05-01_03,LC2,Northern Territories,Emu Reefs,1811,17.07,0.052,0.053,2186,4.85
3,3,LC2 - 3,LA 17-05-01_03,LC2,Northern Territories,Emu Reefs,1343,13.57,0.046,0.068,2602,2.96
4,4,LC2 - 4,LA 17-05-01_03,LC2,Northern Territories,Emu Reefs,1246,13.05,0.040,0.044,3143,2.29
5,5,LC2 - 5,LA 17-05-01_03,LC2,Northern Territories,Emu Reefs,1132,11.83,0.042,0.052,2844,2.55
6,6,LC2 - 6,LA 17-05-01_03,LC2,Northern Territories,Emu Reefs,1123,11.60,Below LOD,0.049,3031,3.21
7,7,LC2 - 7,LA 17-05-01_03,LC2,Northern Territories,Emu Reefs,1171,10.91,0.039,0.039,3216,2.72
8,8,LC2 - 8,LA 17-05-01_03,LC2,Northern Territories,Emu Reefs,1162,10.53,0.044,0.038,3672,3.15
9,9,LC2 - 9,LA 17-05-01_03,LC2,Northern Territories,Emu Reefs,1193,11.24,0.059,0.043,3362,2.95
